,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,epcScore,price,longitude,latitude,error_sum
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20647642,2,2,4.0,2.0,5,1,1040,270.0,12.0,1,1,-1,-1.0,1,2,1910.0,2.0,3.0,5.0,-1,1,2,-1,-1,-1,6.0,2,209.0,1,55.0,1,100.0,1,-1.0,-1.0,-1,-1,-1,1,3.0,-1,-1,1,1.0,0,2,895000.0,4.4049959,50.8459876,146245.625
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20634658,1,4,3.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,2023.0,2.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,4.0,-1,-1,1,25.0,1,5,950000.0,4.4003717,50.8376649,131127.125
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20634657,1,4,3.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,2023.0,2.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,4.0,-1,-1,1,25.0,1,5,950000.0,4.4003717,50.8376649,145463.25
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20634655,1,4,2.0,1.0,5,1,1040,187.0,-1.0,-1,-1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,1.0,-1,-1,1,1,2.0,-1,-1,1,25.0,1,1,795000.0,4.4003717,50.8376649,137222.8125
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20653897,1,5,2.0,1.0,5,1,1040,137.0,-1.0,-1,1,-1,-1.0,-1,3,2024.0,2.0,4.0,-1.0,1,1,0,-1,-1,-1,-1.0,3,-1.0,1,56.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,1.0,-1,-1,1,37.0,0,4,735000.0,4.4060496,50.8361078,137207.25
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,20638164,1,5,3.0,1.0,5,1,1040,198.0,-1.0,-1,-1,-1,-1.0,-1,3,1912.0,3.0,5.0,-1.0,1,1,1,-1,-1,-1,20.0,3,-1.0,1,60.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,3.0,-1,-1,1,18.0,0,4,995000.0,4.4003717,50.8376649,257455.4375
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20634202,1,5,3.0,2.0,5,1,1040,220.0,-1.0,-1,-1,-1,-1.0,-1,3,1912.0,3.0,5.0,-1.0,1,1,1,-1,-1,-1,12.0,3,-1.0,1,45.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,3.0,-1,-1,1,25.0,0,1,950000.0,4.4003717,50.8376649,122295.8125
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,20634332,1,1,3.0,2.0,5,1,1040,198.0,-1.0,-1,1,-1,25.0,1,0,1912.0,2.0,4.0,-1.0,1,0,1,-1,-1,-1,-1.0,5,-1.0,1,45.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,45.0,1,4,995000.0,4.3986309,50.8389003,210476.375
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,20635102,1,4,3.0,1.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,1,-1,-1,3.0,-1,-1,1,42.0,0,4,995000.0,4.4003717,50.8376649,295520.8125
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,31,20645280,1,1,2.0,2.0,5,1,1040,155.0,4.0,-1,1,1,-1.0,1,4,1961.0,2.0,8.0,-1.0,1,1,1,-1,-1,-1,25.0,3,-1.0,1,40.0,-1,-1.0,0,1.0,1.0,-1,1,1,-1,-1.0,-1,-1,1,6.0,4,1,900000.0,4.406109799999999,50.8333828,300736.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,32,20622549,1,1,1.0,1.0,5,1,1040,80.0,-1.0,-1,-1,-1,-1.0,-1,5,1909.0,2.0,3.0,-1.0,-1,1,1,-1,-1,-1,16.0,2,-1.0,1,30.0,1,50.0,0,-1.0,-1.0,-1,-1,1,1,1.0,-1,-1,1,12.0,5,3,230000.0,4.381315400000001,50.82936979999999,-154799.34375
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,42,20629025,1,1,1.0,1.0,5,1,1040,75.0,-1.0,-1,-1,-1,-1.0,-1,3,1977.0,2.0,8.0,-1.0,1,1,1,-1,-1,-1,6.0,3,-1.0,1,30.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,1.0,-1,-1,1,3.0,6,5,255000.0,4.402046299999999,50.8295454,-113071.984375
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,43,20634654,1,4,3.0,1.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,1,-1,-1,3.0,-1,-1,1,42.0,0,4,995000.0,4.4003717,50.8376649,287333.1875
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,45,20634334,1,1,2.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,1,0,-1.0,2.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,5,-1.0,1,45.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,1,3.0,-1,-1,1,25.0,0,1,950000.0,4.3986309,50.8389003,184683.1875
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,46,20452787,1,1,2.0,2.0,5,1,1040,115.0,-1.0,-1,1,-1,20.0,1,2,1933.0,3.0,7.0,-1.0,1,1,1,-1,-1,-1,10.0,3,-1.0,1,20.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,1,5.0,0,1,395000.0,4.400237,50.8283543,-120687.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,54,20320505,1,1,3.0,2.0,5,3,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,-1.0,-1.0,4.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,1,60.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,25.0,0,1,950000.0,4.4003717,50.8376649,165251.9375
